day_falling,code_imp_1,code_imp_3,code_imp_5,code_imp_6,code_imp_8,code_imp_12,code_imp_13,code_imp_14,code_imp_15,code_imp_16,code_imp_17,code_imp_19,code_imp_20,code_imp_22,code_imp_29,code_imp_30,code_imp_33,code_imp_36,code_imp_39,code_imp_41,code_imp_42,code_imp_43,code_imp_44,code_imp_45,code_imp_48,code_imp_49,code_imp_50,code_imp_51,code_imp_53,code_imp_55,code_imp_57,code_imp_58,code_imp_63,code_imp_66,code_imp_67,code_imp_68,code_imp_69,code_imp_75,code_imp_77,code_imp_78,code_imp_81,code_imp_82,code_imp_84,code_imp_87,code_imp_88,code_imp_90,code_imp_94,code_imp_95,code_imp_97
73,3,1,3,3,2,1,3,3,1,3,3,2,3,3,3,3,3,1,1,3,3,3,3,3,2,1,1,1,3,3,2,2,3,1,1,2,2,1,1,1,3,1,1,2,1,3,3,3,3
74,3,1,3,3,2,2,3,2,1,1,3,2,3,3,2,2,1,1,1,3,3,3,3,2,2,2,1,1,3,3,2,3,3,1,2,2,3,1,2,1,3,1,3,3,1,2,3,3,3
74,3,1,3,3,1,3,3,1,1,1,2,1,3,3,2,3,3,1,2,2,2,3,3,3,3,2,2,1,3,3,2,3,3,1,1,3,1,1,1,1,2,2,3,3,1,3,2,3,2
75,3,1,3,3,1,2,3,2,1,2,2,1,3,3,2,3,1,1,1,3,3,3,3,3,2,2,1,1,3,3,1,1,3,1,2,1,2,1,1,1,3,1,2,2,1,3,3,3,2
75,3,1,3,3,1,2,3,3,3,1,2,1,3,3,1,3,1,1,1,3,2,3,3,2,2,1,1,1,3,2,3,3,3,1,1,3,3,1,1,2,3,1,3,3,1,3,2,3,2
75,3,1,3,2,1,2,2,3,1,3,2,1,2,3,2,3,2,1,1,3,3,3,3,2,3,1,1,2,3,3,2,2,3,1,2,2,2,1,1,1,2,1,3,3,2,3,2,3,3
76,3,1,3,3,1,3,3,2,2,1,1,1,3,3,1,2,2,2,1,3,3,3,3,2,1,2,2,1,3,3,1,3,3,1,2,3,2,1,1,1,3,1,3,3,1,3,2,3,2
76,3,1,3,3,1,3,3,2,1,2,1,1,3,3,2,2,1,2,1,3,3,3,2,3,1,2,1,1,2,3,3,2,3,1,1,2,1,1,1,2,2,1,2,3,1,3,2,3,3
77,3,1,3,1,1,2,3,2,1,3,3,1,3,3,2,3,3,2,1,3,2,3,3,3,1,1,1,1,3,3,2,3,1,1,2,3,1,1,1,2,3,1,3,3,1,3,2,3,1
77,3,1,3,3,1,2,2,2,1,2,2,1,3,3,2,3,2,2,1,3,3,3,3,2,2,1,1,1,3,3,3,3,2,1,1,2,1,2,1,1,3,1,3,2,1,3,2,3,2
77,3,1,2,2,1,2,3,1,1,1,1,2,3,1,3,1,3,1,1,3,2,2,3,3,1,2,1,1,3,3,2,3,3,1,1,1,2,1,1,1,2,1,3,2,1,3,2,2,2
77,3,1,3,2,1,3,3,3,1,3,2,1,3,3,3,2,3,2,1,3,3,3,3,3,2,2,1,1,3,2,2,2,3,1,3,1,3,1,1,1,3,1,3,3,1,3,2,3,3
77,3,1,3,3,1,2,2,2,1,1,2,1,1,2,3,3,1,1,1,3,3,2,3,3,1,2,1,1,3,3,1,3,3,1,1,2,1,1,1,1,2,1,3,3,1,3,2,3,3
78,3,1,3,2,1,3,3,3,1,1,3,1,3,3,3,3,1,2,1,3,3,3,3,3,2,1,2,1,3,3,2,2,3,1,2,2,2,1,1,1,2,1,3,3,1,3,2,3,3
78,3,2,3,3,1,3,3,2,2,1,3,1,3,3,1,2,2,2,2,3,3,3,3,2,1,2,1,1,3,3,1,1,2,1,1,3,2,1,2,1,3,1,3,3,1,3,1,3,2
78,3,1,3,2,1,3,3,3,1,1,3,1,3,3,1,3,3,1,1,3,3,3,3,2,2,2,2,1,3,3,2,2,3,1,2,3,2,1,1,1,3,1,3,3,1,3,2,3,3
78,3,1,3,2,1,3,3,3,1,1,2,1,2,3,1,3,2,1,1,3,3,3,3,3,3,2,1,2,3,3,1,3,3,1,2,2,2,1,2,1,3,2,2,3,1,3,3,3,2
78,3,1,3,3,1,2,3,2,2,1,3,1,3,2,2,2,3,3,1,3,2,3,3,2,1,1,1,1,3,2,2,2,2,1,1,2,1,2,1,2,3,1,3,3,1,3,2,3,1
79,3,1,3,3,1,3,3,3,2,1,2,1,3,3,2,2,3,1,1,3,3,3,3,2,2,2,1,1,2,2,2,2,3,1,2,1,1,1,1,1,2,2,3,2,1,2,1,3,3
